,0
0,-1.9444348124629036
1,-0.6606669990896211
2,-0.5366034926457288
3,-1.6481707021042111
4,-0.5616355960875502
5,-0.5474827377467336
6,-0.5729292232797258
7,-0.5970990999873323
8,-0.7536143070790646
9,-0.6470574354407266
10,-1.3534266800737476
11,-0.535466692945237
12,-0.667003415623308
13,-0.6522575324181715
14,-0.6614983837382361
15,-0.5557030177070436
16,-0.611107273615556
17,-0.8258169865038729
18,-0.5692269833863461
19,-0.5846995984825736
20,-0.7090168402557189
21,-0.6766505482680208
22,-0.5826913042949663
23,-0.6239533521250492
24,-0.7039119340303593
25,-0.6151248679102344
26,-0.5633607569944887
27,-1.0515535624758792
28,-0.657217948318888
29,-0.6612348910403859
30,-0.6305279739304014
31,-0.5927573138518207
32,-0.6384360901017564
33,-0.611597902999677
34,-1.013239119186416
35,-0.9751003743523843
36,-0.7446060154620923
37,-0.7939408521577207
38,-0.5908012964977061
39,-0.656574576975419
40,-0.5815732440222457
41,-0.5746253819777771
42,-0.6467164551407685
43,-0.6468814405233945
44,-0.5697273099798484
45,-0.7273309847299404
46,-1.3348265793096605
47,-0.5910041261075154
48,-0.5697518717539521
49,-0.629382229949405
50,-0.5256567828009636
51,-0.6604107213257022
52,-0.5650771254403181
53,-0.7420682391873512
54,-0.6349940436354835
55,-0.5731241452079362
56,-0.6411340425117795
57,-0.6182164137711575
58,-0.7085054186199613
59,-0.8266114029722464
60,-0.673041363688793
61,-0.6842674849165247
62,-0.7149107239728157
63,-0.842306456657801
64,-0.6445532176666984
65,-0.8542280757453196
66,-0.9414952885794665
67,-0.787716714803237
68,-0.6097875140091458
69,-0.5403811407806952
70,-0.6711899664199431
71,-0.9705391630495114
72,-0.6226698510070379
73,-0.5989397802135884
74,-0.5887743829147908
75,-0.5499113972993785
76,-0.6538171111281212
77,-0.8076780938941591
78,-0.7815870129358735
79,-0.7724648760063451
80,-0.8354299838736579
81,-0.5374221408222906
82,-0.6290245383341909
83,-1.050375542223087
84,-0.6014500193607287
85,-0.6225211600443545
86,-0.5481128835960948
87,-0.5690019345828997
88,-0.5964534371520763
89,-0.5282085250177737
90,-0.5314178378120942
91,-0.5657145361761104
92,-0.7966944731708129
93,-0.551349136330688
94,-0.5385671936799389
95,-0.5764792865387622
96,-0.5923875718657808
97,-0.552367742954305
98,-0.5283452974619393
99,-0.5650775919036518
100,-0.5395921051604164
101,-0.5403714149340672
102,-0.806372920658954
103,-0.5336602482885825
104,-0.5787557277338089
105,-0.5340597940853593
106,-0.528230045776479
107,-0.5490504622686233
108,-0.5500130677724229
109,-0.5421844325456397
110,-0.6314830568982317
111,-0.6190355681996002
112,-0.5685375098788391
113,-0.6716207015668422
114,-0.5642809271275474
115,-0.6138271258088825
116,-0.5492333722790202
117,-0.5327971227762468
118,-0.5466667116227913
119,-0.5598279452016052
120,-0.5469409031545656
121,-0.567579484340935
122,-0.5634784524505047
123,-0.546159181978257
124,-0.5600374645946826
125,-1.0517183808334796
126,-0.5346625955798034
127,-0.5356046206584664
128,-0.6285937966936386
129,-0.5308442313504547
130,-0.5600505074553411
131,-0.5614695603030789
132,-0.5280668140781843
133,-0.6360713575722656
134,-0.5538470913746661
135,-2.0091007879866076
136,-0.5440524680539466
137,-1.3329649166929936
138,-0.7095295843818833
139,-0.6758066988538192
140,-0.7605484622369872
141,-0.570743327685874
142,-0.6427334051713578
143,-0.5547048962255082
144,-0.9873483865384622
145,-0.6873236694662844
146,-0.5405533970195485
147,-0.6617317143499145
148,-0.5538223662334947
149,-1.0500769631283762
150,-0.651192615718791
151,-0.6000284947824983
152,-0.5533382212574112
153,-0.8205788368511805
154,-0.6876433474852136
155,-0.8038424591132554
156,-0.6589039098270583
157,-0.628866964108846
158,-0.5521473648107056
159,-0.6233329933890996
160,-0.560226011150335
161,-0.5919816492302309
162,-0.6095237466558685
163,-0.5717657625103585
164,-0.7973607061699378
165,-0.6312556115095173
166,-0.5728823554613967
167,-0.5410049625900746
168,-0.5834012323171538
169,-0.5402109945360051
170,-0.5405407962449604
171,-0.8951797380623144
172,-0.5600962464591144
173,-0.5530206675052725
174,-0.550386431397789
175,-0.6056626978946117
176,-0.5548401025743704
177,-0.595725319972641
178,-0.7247683413302447
179,-0.7419585034947233
180,-1.170715644877774
181,-0.5550593323810394
182,-0.7472026811913979
183,-0.5485553506560102
184,-0.7109445583951549
185,-0.5962178473632843
186,-0.71285359694653
187,-0.8076942246701478
188,-0.6599456645279695
189,-1.250075279066123
190,-0.5615422102166935
191,-0.6073031297591162
192,-0.6183640243673285
193,-0.566482933881811
194,-0.7089267844516572
195,-0.5721887486170472
196,-0.7180710715311067
197,-0.703817824205941
198,-0.6615548072170951
199,-1.1000926240911586
200,-0.6611632842569474
201,-0.7752898621391541
202,-1.1596594077135043
203,-0.6466438285566118
204,-0.565684390859692
205,-0.5970705976163535
206,-0.5579011138873089
207,-0.8092413432589658
208,-0.5771838870625882
209,-1.2496758906629442
210,-0.6465427330542773
211,-0.7745273315560657
